date,player_name,player_id,team,league,opponent,home_away,ab,hits,home_runs,rbi,bb,so,game_pk
2026-03-25,Aaron Judge,592450,NYY,AL,,Away,5,0,0,0,0,4,823244
2026-03-25,Trent Grisham,663757,NYY,AL,,Away,5,1,0,2,0,1,823244
2026-03-26,Byron Buxton,621439,MIN,AL,,Away,4,1,0,0,0,1,824865
2026-03-26,Cal Raleigh,663728,SEA,AL,,Home,3,0,0,0,1,3,823163
2026-03-26,Corbin Carroll,682998,ARI,NL,,Away,4,1,0,0,0,0,823974
2026-03-26,Eugenio Suarez,553993,ARI,NL,,Home,4,0,0,0,0,3,824541
2026-03-26,Jo Adell,666176,LAA,AL,,Away,3,2,0,0,1,0,824218
2026-03-26,Juan Soto,665742,NYM,NL,,Home,4,2,0,1,1,0,823649
2026-03-26,Junior Caminero,691406,TB,AL,,Away,2,1,0,0,4,1,823081
2026-03-26,Kyle Schwarber,656941,PHI,NL,,Home,4,1,1,2,0,1,823486
2026-03-26,Michael Busch,683737,CHC,NL,,Home,4,3,0,1,1,0,824704
2026-03-26,Pete Alonso,624413,NYM,NL,,Home,3,0,0,0,1,2,824865
2026-03-26,Pete Crow-Armstrong,691718,CHC,NL,,Home,5,2,0,2,0,2,824704
2026-03-26,Riley Greene,682985,DET,AL,,Away,4,0,0,0,1,2,823325
2026-03-26,Shohei Ohtani,660271,LAD,NL,,Home,3,1,0,0,1,0,823974
2026-03-26,Taylor Ward,621493,LAA,AL,,Home,4,0,0,0,0,0,824865
2026-03-27,Aaron Judge,592450,NYY,AL,,Away,4,1,1,2,0,2,823243
2026-03-27,Cal Raleigh,663728,SEA,AL,,Home,4,0,0,0,0,4,823162
2026-03-27,Corbin Carroll,682998,ARI,NL,,Away,4,0,0,0,0,2,823971
2026-03-27,Hunter Goodman,696100,COL,NL,,Away,4,2,0,0,0,0,823893
2026-03-27,Jo Adell,666176,LAA,AL,,Away,5,1,0,0,0,2,824216
2026-03-27,Nick Kurtz,701762,OAK,AL,,Away,4,0,0,0,0,3,822839
2026-03-27,Riley Greene,682985,DET,AL,,Away,5,1,0,1,0,0,823324
2026-03-27,Shohei Ohtani,660271,LAD,NL,,Home,3,0,0,0,1,1,823971
2026-03-27,Trent Grisham,663757,NYY,AL,,Away,1,0,0,0,1,0,823243
2026-03-27,Vinnie Pasquantino,686469,KC,AL,,Away,3,0,0,0,0,0,824946
2026-03-28,Aaron Judge,592450,NYY,AL,,Away,4,1,1,1,0,1,823241
2026-03-28,Byron Buxton,621439,MIN,AL,,Away,4,2,0,0,0,1,824862
2026-03-28,Cal Raleigh,663728,SEA,AL,,Home,4,1,0,0,1,2,823161
2026-03-28,Corbin Carroll,682998,ARI,NL,,Away,3,1,0,1,0,0,823973
2026-03-28,Eugenio Suarez,553993,ARI,NL,,Home,5,1,0,1,0,1,824540
2026-03-28,Hunter Goodman,696100,COL,NL,,Away,4,1,0,0,0,1,823892
2026-03-28,Jo Adell,666176,LAA,AL,,Away,4,0,0,0,0,0,824213
2026-03-28,Juan Soto,665742,NYM,NL,,Home,5,1,0,0,0,0,823651
2026-03-28,Junior Caminero,691406,TB,AL,,Away,3,1,0,0,1,0,823082
2026-03-28,Kyle Schwarber,656941,PHI,NL,,Home,5,0,0,0,0,4,823488
2026-03-28,Michael Busch,683737,CHC,NL,,Home,4,1,0,0,1,0,824701
2026-03-28,Nick Kurtz,701762,OAK,AL,,Away,2,0,0,0,3,2,822838
2026-03-28,Pete Alonso,624413,NYM,NL,,Home,5,1,0,0,0,2,824862
2026-03-28,Pete Crow-Armstrong,691718,CHC,NL,,Home,4,2,0,0,1,1,824701
2026-03-28,Riley Greene,682985,DET,AL,,Away,3,0,0,0,1,1,823323
2026-03-28,Shohei Ohtani,660271,LAD,NL,,Home,2,0,0,0,2,0,823973
2026-03-28,Taylor Ward,621493,LAA,AL,,Home,3,0,0,0,2,2,824862
2026-03-28,Trent Grisham,663757,NYY,AL,,Away,3,1,0,0,1,0,823241
2026-03-28,Vinnie Pasquantino,686469,KC,AL,,Away,4,0,0,0,0,1,824945
2026-03-29,Byron Buxton,621439,MIN,AL,,Away,4,1,0,0,1,2,824864
2026-03-29,Cal Raleigh,663728,SEA,AL,,Home,4,1,0,1,1,1,823160
2026-03-29,Eugenio Suarez,553993,ARI,NL,,Home,3,1,1,3,1,1,824538
2026-03-29,Hunter Goodman,696100,COL,NL,,Away,4,1,0,0,0,1,823891
2026-03-29,Jo Adell,666176,LAA,AL,,Away,4,2,0,1,0,0,824215
2026-03-29,Juan Soto,665742,NYM,NL,,Home,5,2,0,2,0,3,823647
2026-03-29,Junior Caminero,691406,TB,AL,,Away,5,0,0,0,0,2,823079
2026-03-29,Kyle Schwarber,656941,PHI,NL,,Home,4,1,0,0,0,1,823487
2026-03-29,Michael Busch,683737,CHC,NL,,Home,4,0,0,0,0,2,824700
2026-03-29,Nick Kurtz,701762,OAK,AL,,Away,3,1,0,0,1,2,822837
