player_name,player_id,team,league,bats,hr_2025,status
Cal Raleigh,663728,SEA,AL,S,60,Active
Aaron Judge,592450,NYY,AL,R,53,Active
Junior Caminero,691406,TB,AL,R,45,Active
Jo Adell,666176,LAA,AL,R,37,Active
Riley Greene,682985,DET,AL,L,36,Active
Nick Kurtz,701762,OAK,AL,L,36,Active
Taylor Ward,621493,LAA,AL,R,36,Active
Byron Buxton,621439,MIN,AL,R,35,Active
Trent Grisham,663757,NYY,AL,L,34,Active
Vinnie Pasquantino,686469,KC,AL,L,32,Active
Kyle Schwarber,656941,PHI,NL,L,56,Active
Shohei Ohtani,660271,LAD,NL,L,55,Active
Juan Soto,665742,NYM,NL,L,43,Active
Pete Alonso,624413,NYM,NL,R,38,Active
Eugenio Suarez,553993,ARI,NL,R,36,Active
Michael Busch,683737,CHC,NL,L,34,Active
Seiya Suzuki,673548,CHC,NL,R,32,Active
Corbin Carroll,682998,ARI,NL,L,31,Active
Pete Crow-Armstrong,691718,CHC,NL,L,31,Active
Hunter Goodman,696100,COL,NL,R,31,Active
