player_name,player_id,team,league,bats,home_games,home_ab,home_hr,home_avg,home_ops,away_games,away_ab,away_hr,away_avg,away_ops,vs_lhp_games,vs_lhp_ab,vs_lhp_hr,vs_lhp_avg,vs_lhp_ops,vs_rhp_games,vs_rhp_ab,vs_rhp_hr,vs_rhp_avg,vs_rhp_ops
Cal Raleigh,663728,SEA,AL,S,10,36,1,.139,.488,6,24,1,.125,.514,11,18,0,.056,.238,14,42,2,.167,.612
Aaron Judge,592450,NYY,AL,R,6,21,1,.333,.986,9,34,3,.147,.649,6,12,2,.333,1.218,15,43,2,.186,.663
Junior Caminero,691406,TB,AL,R,6,22,1,.227,.689,9,35,1,.257,.752,11,13,0,.308,.885,15,44,2,.227,.672
Jo Adell,666176,LAA,AL,R,6,23,1,.391,.913,10,41,0,.244,.539,10,16,1,.438,1.125,16,48,0,.250,.515
Riley Greene,682985,DET,AL,L,6,20,1,.400,1.100,10,40,0,.175,.517,9,7,0,.286,.786,16,53,1,.245,.699
Nick Kurtz,701762,OAK,AL,L,3,10,0,.300,.933,11,39,1,.179,.615,9,14,0,.214,.603,12,35,1,.200,.721
Taylor Ward,621493,LAA,AL,R,9,36,0,.306,.770,6,23,0,.435,1.275,5,5,0,.600,1.500,15,54,0,.333,.919
Byron Buxton,621439,MIN,AL,R,6,22,0,.227,.688,8,33,0,.152,.413,9,26,0,.192,.481,13,29,0,.172,.575
Trent Grisham,663757,NYY,AL,L,6,17,0,.118,.518,9,28,0,.143,.523,6,6,0,.167,.542,14,39,0,.128,.525
Vinnie Pasquantino,686469,KC,AL,L,10,37,0,.135,.389,6,22,0,.182,.462,9,22,0,.182,.432,15,37,0,.135,.406
Kyle Schwarber,656941,PHI,NL,L,9,33,3,.212,.878,6,19,1,.211,.865,10,20,0,.150,.461,14,32,4,.250,1.130
Shohei Ohtani,660271,LAD,NL,L,9,29,2,.241,.898,6,27,3,.333,1.098,12,20,2,.300,1.041,14,36,3,.278,.968
Juan Soto,665742,NYM,NL,L,3,14,0,.357,.829,5,17,1,.353,1.009,6,12,1,.083,.487,7,19,0,.526,1.203
Pete Alonso,624413,NYM,NL,R,9,33,1,.273,.779,6,25,0,.080,.308,9,10,0,.100,.282,15,48,1,.208,.642
Eugenio Suarez,553993,ARI,NL,R,9,33,2,.242,.730,7,25,0,.200,.526,9,16,1,.250,.771,16,42,1,.214,.593
Michael Busch,683737,CHC,NL,L,9,30,0,.233,.643,6,22,0,.000,.080,8,10,0,.200,.600,14,42,0,.119,.345
Seiya Suzuki,673548,CHC,NL,R,3,10,0,.200,.585,,,,,,2,1,0,1.000,2.000,3,9,0,.111,.384
Corbin Carroll,682998,ARI,NL,L,7,21,2,.381,1.424,7,28,0,.286,.787,8,20,1,.450,1.376,12,29,1,.241,.861
Pete Crow-Armstrong,691718,CHC,NL,L,9,35,0,.200,.463,6,24,1,.208,.583,13,24,0,.167,.375,14,35,1,.229,.603
Hunter Goodman,696100,COL,NL,R,6,20,1,.200,.654,10,34,1,.265,.724,8,8,0,.125,.425,15,46,2,.261,.746
